id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,notes,retained_bool,match_label,opposition,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome
1,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,1,0,0,0,1,-1,long,T,AL,no,unknown,,False,2025_AIF,Cork,,,,,,,
2,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,3,0,1,0,1,0,long,C,AC,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
3,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,4,0,1,0,2,-1,long,B,AR,no,turnover,,False,2025_AIF,Cork,,,,,,,
4,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,4,0,2,0,1,1,long,C,AR,yes,turnover,,True,2025_AIF,Tipperary,,,,,,,
5,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,5,0,1,0,2,-1,long,C,AR,yes,shot,,True,2025_AIF,Cork,,,,,,,
6,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,6,0,2,0,1,1,long,P,AC,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
7,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,7,0,2,0,2,0,long,P,AC,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
8,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,7,0,2,0,2,0,short,C,DC,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
9,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,7,0,2,0,2,0,short,C,DL,yes,pass,,True,2025_AIF,Cork,,,,,,,
10,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,8,0,2,0,3,-1,short,C,DL,yes,carry,,True,2025_AIF,Cork,,,,,,,
11,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,9,0,3,0,2,1,short,C,DR,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
12,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,10,0,2,0,4,-2,medium,P,ML,no,turnover,,False,2025_AIF,Cork,,,,,,,
13,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,11,0,4,0,3,1,long,T,AR,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
14,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,12,0,4,0,3,1,short,C,DC,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
15,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,12,0,3,0,4,-1,short,C,DC,yes,carry,,True,2025_AIF,Cork,,,,,,,
16,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,13,0,4,0,4,0,short,C,DC,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
17,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,14,0,4,0,5,-1,long,C,AR,yes,shot,,True,2025_AIF,Cork,,,,,,,
18,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,15,0,5,0,4,1,short,C,DR,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
