id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome,notes
1,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,1,0,0,0,0,0,long,B,AL,yes,carry,A,pass,A,carry,A,shot,point,
2,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,2,0,0,0,1,-1,long,C,AL,yes,carry,B,carry,B,pass,B,carry,,
3,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,3,0,1,0,0,1,long,B,AC,yes,carry,A,carry,A,shot,A,,,
4,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,3,0,0,0,1,-1,long,X,AR,no,turnover,,,,,,,,
5,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,5,0,0,0,1,-1,long,B,AL,yes,carry,B,pass,A,pass,A,carry,,
6,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,6,0,0,0,1,-1,short,C,DL,yes,pass,B,turnover,A,turnover,B,,,
7,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,7,0,0,0,2,-2,short,C,DC,yes,pass,A,carry,A,pass,A,pass,,
8,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,8,0,0,0,3,-3,short,C,DL,yes,pass,B,launch,B,carry,B,shot,goal,
9,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,9,0,3,1,0,0,long,P,AL,yes,carry,A,carry,A,pass,A,shot,point,
10,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,9,1,0,0,4,-1,short,C,DR,yes,pass,B,carry,B,shot,B,,wide,
11,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,10,0,4,1,0,1,long,X,AL,no,turnover,,,,,,,,
12,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,11,1,0,0,4,-1,long,B,AL,no,turnover,A,carry,A,pass,A,pass,,
13,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,12,1,0,0,5,-2,long,T,AR,no,pass,A,launch,A,pass,A,shot,point,
14,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,12,1,0,0,6,-3,short,C,DC,yes,pass,B,pass,B,shot,B,,wide,
15,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,13,0,6,1,0,3,long,B,AL,yes,pass,A,pass,A,carry,A,shot,point,
16,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,13,1,0,0,7,-4,medium,C,MR,yes,pass,B,turnover,A,pass,A,pass,,
17,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,14,1,0,0,8,-5,short,C,DL,yes,pass,B,shot,B,,B,,point,
18,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,14,0,8,1,1,4,long,P,AR,yes,carry,A,shot,A,,A,,point,
19,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,15,1,1,0,9,-5,short,C,DL,yes,carry,B,pass,B,pass,B,turnover,,
20,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,16,0,9,1,2,4,medium,C,MR,yes,pass,A,turnover,B,launch,B,turnover,,
21,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,17,1,2,0,10,-5,long,B,AC,no,turnover,A,launch,A,turnover,B,carry,,
22,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,18,0,10,1,2,5,long,B,AC,no,turnover,B,pass,B,shot,B,,point,
23,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,19,0,11,1,3,5,long,C,AR,yes,carry,A,pass,A,pass,A,turnover,,
24,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,20,0,11,1,4,4,medium,B,MR,yes,pass,A,turnover,B,pass,B,launch,,
25,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,21,1,4,0,11,-4,medium,C,MC,yes,pass,B,carry,B,shot,A,,,
26,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,22,0,11,2,4,1,long,T,AL,no,pass,B,pass,B,launch,B,turnover,,
27,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,23,0,11,2,5,0,medium,B,MC,no,pass,B,shot,B,,B,,point,
28,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,24,0,11,2,6,-1,long,B,AR,no,carry,B,pass,B,pass,B,shot,wide,
29,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,25,0,11,2,6,-1,long,B,AC,no,carry,B,launch,B,pass,B,shot,goal,
30,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,26,0,11,3,6,-4,long,P,AL,yes,carry,A,foul-won,A,,A,,,
31,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,27,3,6,0,12,3,short,C,DC,yes,pass,B,launch,B,turnover,A,pass,,
32,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,27,0,12,3,7,-4,short,C,DR,yes,pass,A,launch,A,turnover,B,carry,,
33,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,30,3,7,0,13,3,long,T,AL,no,pass,A,pass,A,pass,A,turnover,,
34,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,32,3,7,0,14,2,short,B,DC,yes,pass,B,pass,B,pass,B,pass,,
35,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,32,0,14,3,8,-3,short,C,DL,yes,pass,A,launch,A,turnover,B,pass,,
36,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,34,3,8,0,15,2,short,C,DL,yes,pass,B,pass,B,carry,B,pass,,
37,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,34,0,15,3,9,-3,long,B,AL,no,pass,B,carry,B,shot,B,,point,
38,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,35,0,15,3,10,-4,short,C,DL,yes,pass,A,pass,A,shot,A,,,
39,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,35,3,10,0,15,4,short,C,DC,yes,pass,B,launch,B,shot,B,,,
40,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,36,0,15,3,11,-5,short,C,DR,yes,unknown,A,launch,A,pass,A,pass,,
41,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,37,3,11,0,17,3,medium,B,MR,no,carry,A,pass,A,carry,A,turnover,,
42,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,38,0,17,3,12,-4,short,C,DC,yes,carry,A,pass,A,pass,A,carry,,
43,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,39,3,12,0,18,3,medium,C,ML,yes,carry,B,pass,B,turnover,A,pass,,
44,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,39,3,12,0,19,2,long,T,AR,no,pass,A,carry,A,pass,A,launch,,
45,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,41,0,19,3,12,-2,long,B,AC,no,carry,B,foul-won,A,,A,,,
46,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,42,0,19,3,12,-2,long,T,AL,no,pass,B,launch,B,pass,B,pass,,
47,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,42,0,19,3,12,-2,medium,C,ML,yes,pass,A,turnover,B,pass,B,carry,,
48,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,43,0,19,3,12,-2,long,B,AL,no,pass,B,launch,B,turnover,A,pass,,
49,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,44,0,19,3,13,-3,medium,P,ML,yes,pass,A,carry,A,pass,A,pass,,
50,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,45,3,13,0,20,2,short,C,DL,yes,carry,B,pass,B,carry,B,pass,,
51,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,46,0,20,3,14,-3,long,B,AR,yes,carry,A,shot,A,,A,,point,
52,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,47,3,14,0,21,2,long,B,AL,no,foul-won,B,shot,B,,B,,,
53,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,48,0,21,3,14,-2,short,C,DL,yes,pass,A,pass,A,pass,A,shot,point,
54,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,48,3,14,0,22,1,long,B,AL,no,turnover,A,shot,A,,A,,point,
55,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,51,3,14,0,23,0,long,B,AC,no,pass,A,launch,A,carry,A,turnover,,
56,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,53,3,14,0,24,-1,long,B,AL,yes,carry,B,foul-won,B,shot,B,,,
57,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,55,0,24,3,15,0,medium,B,MR,yes,unknown,A,carry,A,foul-won,A,shot,point,
58,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,56,3,15,0,25,-1,short,C,DL,yes,pass,B,turnover,A,turnover,B,foul-won,,
59,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,57,0,25,3,16,0,short,C,DC,yes,pass,A,carry,A,pass,A,turnover,,
60,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,58,3,16,0,26,-1,long,T,AR,no,pass,A,pass,A,foul-won,A,launch,,
61,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,60,0,26,3,17,0,short,C,DC,yes,carry,A,launch,A,turnover,B,pass,,
62,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,61,3,17,0,26,0,short,C,DC,yes,pass,B,turnover,A,pass,A,shot,point,
63,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,62,0,27,3,17,1,medium,C,MR,yes,pass,B,launch,B,turnover,A,foul-won,,
64,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,63,3,17,0,28,-2,long,T,AR,no,pass,A,carry,A,pass,A,pass,,
65,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,66,0,28,3,18,1,short,C,DC,yes,carry,A,launch,A,turnover,B,pass,,
66,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,67,0,28,3,19,0,long,B,AR,no,pass,B,turnover,A,turnover,B,pass,,
67,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,68,0,28,3,20,-1,long,B,AC,yes,pass,A,shot,A,,A,,point,
68,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,69,3,20,0,29,0,short,C,DL,yes,carry,B,launch,B,turnover,A,carry,,
69,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,70,0,29,4,20,-3,short,C,DC,yes,pass,A,turnover,B,pass,B,carry,,
70,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,71,0,30,4,21,-3,short,unknown,DC,yes,carry,A,pass,A,carry,A,launch,,
71,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,72,4,21,0,30,3,short,C,DC,yes,pass,B,pass,B,launch,B,turnover,,
