id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,poss_outcome,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome,notes,has_chain,chain_length,match_label,opposition,goalkeeper,retained_bool,game_state,net_score_value,outcome_logged
1,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,1.0,0,0,0,1,-1,long,T,AL,no,turnover,no-score,A,turnover,B,pass,B,pass,,,True,3,2025_AIHF_CORK_TIPP,Cork,unknown,False,Losing 1-3,0,True
2,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,3.0,0,1,0,1,0,long,C,AC,yes,pass,point,A,foul-won,A,shot,n/a,n/a,point,,True,2,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Level,1,True
3,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,4.0,0,1,0,2,-1,long,B,AR,no,turnover,no-score,A,pass,A,turnover,B,pass,,,True,3,2025_AIHF_CORK_TIPP,Cork,unknown,False,Losing 1-3,0,True
4,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,4.0,0,2,0,1,1,long,unknown,AR,yes,pass,no-score,A,turnover,B,pass,B,turnover,,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Winning 1-3,0,True
5,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,5.0,0,1,0,2,-1,long,C,AR,yes,shot,no-score,,,,,,,wide,,False,0,2025_AIHF_CORK_TIPP,Cork,unknown,True,Losing 1-3,0,True
6,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,6.0,0,2,0,1,1,long,B,AC,no,turnover,point,B,pass,B,carry,B,shot,point,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,False,Winning 1-3,1,True
7,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,7.0,0,2,0,2,0,long,P,AC,yes,carry,no-score,A,pass,A,turnover,B,pass,,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Level,0,True
8,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,7.0,0,2,0,2,0,short,C,DC,yes,carry,no-score,A,pass,A,pass,A,shot,wide,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Level,0,True
9,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,7.0,0,2,0,2,0,short,C,DR,yes,launch,no-score,B,shot,n/a,n/a,n/a,n/a,short,,True,1,2025_AIHF_CORK_TIPP,Cork,unknown,True,Level,0,True
10,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,8.0,0,2,0,3,-1,short,C,DC,yes,carry,no-score,B,carry,B,pass,B,shot,wide,,True,3,2025_AIHF_CORK_TIPP,Cork,unknown,True,Losing 1-3,0,True
11,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,9.0,0,3,0,2,1,short,C,DR,yes,carry,no-score,A,pass,A,launch,A,pass,,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Winning 1-3,0,True
12,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,10.0,0,2,0,4,-2,medium,B,ML,yes,carry,point,B,launch,B,foul-won,B,shot,point,,True,3,2025_AIHF_CORK_TIPP,Cork,unknown,True,Losing 1-3,1,True
13,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,11.0,0,4,0,3,1,long,X,AR,no,turnover,no-score,B,carry,B,shot,n/a,n/a,wide,,True,2,2025_AIHF_CORK_TIPP,Tipperary,unknown,False,Winning 1-3,0,True
14,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,12.0,0,4,0,3,1,short,C,DC,yes,carry,no-score,A,pass,A,carry,A,shot,wide,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Winning 1-3,0,True
15,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,12.0,0,3,0,4,-1,short,C,DC,yes,launch,point,B,shot,n/a,n/a,n/a,n/a,point,,True,1,2025_AIHF_CORK_TIPP,Cork,unknown,True,Losing 1-3,1,True
16,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Cork,1,13.0,0,4,0,4,0,short,C,DC,yes,carry,point,A,foul-won,A,launch,A,carry,,,True,3,2025_AIHF_CORK_TIPP,Tipperary,unknown,True,Level,1,True
17,2025_AIHF_CORK_TIPP,2025-07-20,Cork,Tipperary,Tipperary,1,14.0,0,4,0,5,-1,long,C,AR,yes,shot,no-score,,,,,,,wide,,False,0,2025_AIHF_CORK_TIPP,Cork,unknown,True,Losing 1-3,0,True
