id,match,date,team_a,team_b,shooting_team,half,minute,score_shoot_goals,score_shoot_points,score_opp_goals,score_opp_points,score_diff,set_piece_type,shooter,position_zone,attempt_type,striking_side,under_pressure,outcome,notes
"1","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","3","0","1","0","0","1","sideline","7","F5L","short","dominant","none","retained",""
"2","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","4","0","1","0","0","1","free","","F5L","long","dominant","none","lost",""
"3","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","1","5","0","0","0","1","-1","free","","F5CL","long","dominant","none","lost",""
"4","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","6","0","1","0","0","1","sideline","","F3R","short","dominant","none","retained",""
"5","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","1","7","0","0","0","1","-1","sideline","","F2L","short","dominant","none","lost",""
"7","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","1","10","1","0","0","4","-1","sideline","","F5R","long","dominant","none","lost",""
"8","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","1","15","1","1","0","9","-5","free","","F5CL","short","dominant","none","retained",""
"9","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","17","0","9","1","2","4","free","","F2R","direct","dominant","none","point",""
"10","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","1","20","1","3","0","11","-5","sideline","","F4R","direct","dominant","none","short",""
"11","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","26","0","11","3","6","-4","free","","F5CL","direct","dominant","none","point",""
"12","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","1","28","3","7","0","12","4","free","","F5CR","direct","dominant","none","short",""
"13","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","29","0","12","3","7","-4","sideline","","F3R","short","dominant","none","lost",""
"14","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","30","0","12","3","7","-4","free","","F5CR","long","dominant","none","retained",""
"15","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","31","0","13","3","7","-3","65","","F4CL","direct","dominant","none","point",""
"16","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","33","0","14","3","8","-3","free","","F3L","direct","dominant","none","point",""
"17","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","1","37","0","15","3","11","-5","free","","F2CL","direct","dominant","none","point",""
"19","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","36","0","16","3","11","-4","free","","F3CL","direct","dominant","none","point",""
"20","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","38","3","11","0","17","3","free","","F4CR","direct","dominant","none","point",""
"21","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","41","3","12","0","19","2","free","","F4R","direct","dominant","none","wide",""
"22","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","42","3","12","0","19","2","free","","F5CR","direct","dominant","none","wide",""
"23","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","46","3","13","0","20","2","free","","F5CL","direct","dominant","none","point",""
"24","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","48","3","14","0","21","2","free","","F4L","direct","dominant","none","wide",""
"25","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","50","0","22","3","14","-1","free","","F4R","direct","dominant","none","point",""
"26","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","51","3","14","0","23","0","free","","F5L","unknown","dominant","none","retained",""
"27","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","53","0","23","3","14","0","free","","F3L","direct","dominant","none","point",""
"28","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","54","3","14","0","24","-1","free","","F4L","direct","dominant","none","point",""
"29","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","55","0","24","3","15","0","free","","F5R","direct","dominant","none","point",""
"30","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","56","3","15","0","25","-1","free","","F3L","direct","dominant","none","point",""
"31","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","59","0","26","3","16","1","free","","F5CR","short","dominant","none","retained",""
"32","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","63","0","27","3","17","1","free","","F5CR","short","dominant","none","retained",""
"33","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","66","3","17","0","28","-2","free","","F3R","direct","dominant","none","point",""
"34","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","67","3","18","0","28","-1","free","","F5L","direct","dominant","none","point",""
"35","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Tipperary","2","73","4","21","0","30","3","free","","F5CR","short","dominant","none","retained",""
"36","2025_AISF_KIK_TIP","2025-07-06","Kilkenny","Tipperary","Kilkenny","2","74","0","30","4","21","-3","sideline","","F5R","short","dominant","none","retained",""
