id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,notes
"1","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","14","0","4","0","5","-1","long","C","AR","yes","shot",""
"2","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","CORK","1","15","0","5","0","4","1","short","C","DR","yes","pass",""
"3","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","15","0","4","0","6","-2","long","C","AL","yes","pass",""
"5","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","CORK","1","17","0","6","0","5","1","long","B","AL","no","turnover",""
"6","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","17","0","5","0","7","-2","long","T","AL","no","turnover",""
"7","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","CORK","1","19","0","7","0","6","1","short","C","DC","yes","pass",""
"8","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","20","0","6","0","8","-2","long","P","AL","yes","pass",""
"9","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","CORK","1","21","0","8","0","6","2","short","C","DC","yes","pass",""
"10","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","21","0","6","0","9","-3","long","C","AR","yes","carry",""
"11","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","CORK","1","22","0","9","0","7","2","short","C","DL","yes","pass",""
"12","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","23","0","7","0","10","-3","short","C","DC","yes","carry",""
"13","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","23","0","7","0","11","-4","long","T","AC","no","turnover",""
"14","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","CORK","1","24","0","11","0","8","3","long","P","AR","yes","carry",""
"15","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","25","0","8","0","12","-4","short","C","DC","yes","carry",""
"16","2025_AIF_COR_TIP","2025-07-20","CORK","tipperary","tipperary","1","26","0","8","0","13","-5","medium","C","MR","yes","carry",""
