id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,notes
"1","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","1","0","0","0","1","-1","long","T","AL","no","unknown",""
"2","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","3","0","1","0","1","0","long","C","AC","yes","pass",""
"3","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","4","0","1","0","2","-1","long","B","AR","no","turnover",""
"4","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","4","0","2","0","1","1","long","C","AR","yes","turnover",""
"5","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","5","0","1","0","2","-1","long","C","AR","yes","shot",""
"6","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","6","0","2","0","1","1","long","P","AC","no","turnover",""
"7","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","7","0","2","0","2","0","long","P","AC","yes","carry",""
"8","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","7","0","2","0","2","0","short","C","DC","yes","pass",""
"9","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","7","0","2","0","2","0","short","C","DL","yes","pass",""
"10","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","8","0","2","0","3","-1","short","C","DL","yes","carry",""
"11","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","9","0","3","0","2","1","short","C","DR","yes","carry",""
"12","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","10","0","2","0","4","-2","medium","P","ML","no","turnover",""
"13","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","11","0","4","0","3","1","long","T","AR","no","turnover",""
"14","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","12","0","4","0","3","1","short","C","DC","yes","carry",""
"15","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","12","0","3","0","4","-1","short","C","DC","yes","carry",""
"16","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","13","0","4","0","4","0","short","C","DC","yes","carry",""
