id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,poss_outcome,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome,notes
"1","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","1","0","0","0","1","-1","long","T","AL","no","turnover","no-score","A","turnover","B","pass","B","pass","",""
"2","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","3","0","1","0","1","0","long","C","AC","yes","pass","point","A","foul-won","A","shot","A","","point",""
"3","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","4","0","1","0","2","-1","long","B","AR","no","turnover","no-score","A","pass","A","turnover","B","pass","",""
"4","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","4","0","2","0","1","1","long","unknown","AR","yes","pass","no-score","A","turnover","B","pass","B","turnover","",""
"5","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","5","0","1","0","2","-1","long","C","AR","yes","shot","no-score","","","","","","","wide",""
"6","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","6","0","2","0","1","1","long","B","AC","no","turnover","point","B","pass","B","carry","B","shot","point",""
"7","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","7","0","2","0","2","0","long","P","AC","yes","carry","no-score","A","pass","A","turnover","B","pass","",""
"8","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","7","0","2","0","2","0","short","C","DC","yes","carry","no-score","A","pass","A","pass","A","shot","wide",""
"9","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","7","0","2","0","2","0","short","C","DR","yes","launch","no-score","B","shot","B","","B","","short",""
"10","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","8","0","2","0","3","-1","short","C","DC","yes","carry","no-score","B","carry","B","pass","B","shot","wide",""
"11","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","9","0","3","0","2","1","short","C","DR","yes","carry","no-score","A","pass","A","launch","A","pass","",""
"12","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","10","0","2","0","4","-2","medium","B","ML","yes","carry","point","B","launch","B","foul-won","B","shot","point",""
"13","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","11","0","4","0","3","1","long","X","AR","no","turnover","no-score","B","carry","B","shot","B","","wide",""
"14","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","12","0","4","0","3","1","short","C","DC","yes","carry","no-score","A","pass","A","carry","A","shot","wide",""
"15","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","12","0","3","0","4","-1","short","C","DC","yes","launch","point","B","shot","B","","B","","point",""
"16","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","13","0","4","0","4","0","short","C","DC","yes","carry","point","A","foul-won","A","launch","A","carry","",""
"17","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","14","0","4","0","5","-1","long","C","AR","yes","shot","no-score","","","","","","","wide",""
"18","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","15","0","5","0","4","1","medium","C","MR","yes","pass","point","A","pass","A","pass","A","shot","point",""
"19","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","15","0","4","0","6","-2","long","C","AL","yes","pass","point","A","pass","A","pass","A","foul-won","",""
"21","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","17","0","6","0","5","1","long","B","AL","no","turnover","point","B","carry","B","pass","B","turnover","",""
"22","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","17","0","5","0","7","-2","long","X","AL","no","turnover","no-score","A","pass","A","pass","A","launch","",""
"23","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","19","0","7","0","6","1","short","C","DC","yes","pass","point","A","launch","A","foul-won","A","shot","point",""
